Comment,Designator,Footprint,LCSC,Quantity
LM2903,U3,MSOP-8_3x3mm_P0.65mm,,1
0.1uF,C49,C_0402_1005Metric,,1
1uF,C26,C_0402_1005Metric,,1
4.7k,R16,R_0402_1005Metric,,1
470,R7,R_0402_1005Metric,,1
0.1uF,C34,C_0402_1005Metric,,1
TestPoint,TP22,TestPoint_Pad_D0.3mm,,1
0.1uF,C47,C_0402_1005Metric,,1
33,R14,R_0402_1005Metric,,1
0.1uF,C46,C_0402_1005Metric,,1
P25Q32SH-SSH-IT,U6,SOP-8_3.9x4.9mm_P1.27mm,,1
0.1uF,C42,C_0402_1005Metric,,1
10uF,C24,C_0402_1005Metric,,1
SMD0805B100TFT,F1,Fuse_0805_2012Metric,,1
"8.06k,1%",R30,R_0402_1005Metric,,1
TestPoint,TP2,PinHeader_1x01_P1.00mm_Vertical,,1
"5.1k,1%",R26,R_0402_1005Metric,,1
NC,C56,C_0402_1005Metric,,1
10uF,C39,C_0402_1005Metric,,1
CESD5V0D5,D1,D_SOD-523,,1
"33k,1%",R39,R_0402_1005Metric,,1
0.1uF,C44,C_0402_1005Metric,,1
1.5uH,L5,L_NR3015,,1
"10k,1%",R6,R_0402_1005Metric,,1
0.1uF,C1,C_0402_1005Metric,,1
0.1uF,C8,C_0402_1005Metric,,1
"5.1k,1%",R3,R_0402_1005Metric,,1
0.1uF,C55,C_0402_1005Metric,,1
"26M,NC",Y1,OSC_3225,,1
10uF,C17,C_0402_1005Metric,,1
"10k,1%",R20,R_0402_1005Metric,,1
TestPoint,TP4,PinHeader_1x01_P1.00mm_Vertical,,1
"5.1k,1%",R25,R_0402_1005Metric,,1
"4.7uH,MPL2012S4R7MHT",L2,L_0805_2012Metric,,1
"5.1k,1%",R4,R_0402_1005Metric,,1
220pF,C21,C_0402_1005Metric,,1
4.7k,R22,R_0402_1005Metric,,1
0.1uF,C45,C_0402_1005Metric,,1
1uF,C2,C_0402_1005Metric,,1
1uF,C10,C_0402_1005Metric,,1
NC,R1,R_0402_1005Metric,,1
0.1uF,C33,C_0402_1005Metric,,1
EA3036C,U11,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,,1
"5.1k,1%",R18,R_0402_1005Metric,,1
"10k,1%",R28,R_0402_1005Metric,,1
12pF,C31,C_0402_1005Metric,,1
10uF,C62,C_0402_1005Metric,,1
TestPoint,TP1,PinHeader_1x01_P1.00mm_Vertical,,1
0.1uF,C29,C_0402_1005Metric,,1
0.1uF,C16,C_0402_1005Metric,,1
"10k,1%",R19,R_0402_1005Metric,,1
0.1uF,C4,C_0402_1005Metric,,1
NC,C19,C_0402_1005Metric,,1
4.7k,R15,R_0402_1005Metric,,1
"XO32,26M,NC",X1,OSC_3225,,1
TestPoint,TP3,PinHeader_1x01_P1.00mm_Vertical,,1
1uF,C11,C_0402_1005Metric,,1
LED_RED,D2,LED_0603_1608Metric,,1
NC,C7,C_0402_1005Metric,,1
0.1uF,C57,C_0402_1005Metric,,1
TestPoint,TP6,TestPoint_Pad_D0.3mm,,1
0.1uF,C48,C_0402_1005Metric,,1
TestPoint,TP19,TestPoint_Pad_D0.3mm,,1
LM2903,U4,MSOP-8_3x3mm_P0.65mm,,1
0.1uF,C35,C_0402_1005Metric,,1
"10k,1%",R24,R_0402_1005Metric,,1
"5.1k,1%",R2,R_0402_1005Metric,,1
"33k,1%",R21,R_0402_1005Metric,,1
12pF,C32,C_0402_1005Metric,,1
220pF,C30,C_0402_1005Metric,,1
"10k,1%",R31,R_0402_1005Metric,,1
"10k,1%",R34,R_0402_1005Metric,,1
TestPoint,TP7,TestPoint_Pad_D0.75mm,,1
"FFC-40P-0.5mm,NC",J5,TE_4-1734839-0_1x40-1MP_P0.5mm_Horizontal,,1
SolderJumper_2_Open,JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
TestPoint,TP12,TestPoint_Pad_D0.75mm,,1
TestPoint,TP11,TestPoint_Pad_D0.75mm,,1
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
TestPoint,TP13,TestPoint_Pad_D0.75mm,,1
SolderJumper_3_Bridged12,JP1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,,1
TestPoint,TP9,TestPoint_Pad_D0.75mm,,1
TestPoint,TP10,TestPoint_Pad_D0.75mm,,1
TestPoint,TP8,TestPoint_Pad_D0.75mm,,1
SolderJumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
