Comment,Designator,Footprint,LCSC,Quantity
D500C930SV0,J9,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,,1
0.1uF,C65,0402,,1
0.1uF,C67,0402,,1
2.49k,R28,0402,,1
NC,2x5_2.54.1001,IDC-Header_2x05_P2.54mm_Vertical,,1
5.1k,R46,0402,,1
SW_Push,SW5,SW-3x6mm_Hxx_SMD,,1
33,R84,0402,,1
LM2903A-VR,U19,MSOP-8_3x3mm_P0.65mm,,1
33,R73,0402,,1
0,R4,0402,,1
10uF,C29,0402,,1
LED_RED,D1,LED_0603_1608Metric,,1
10k,R81,0402,,1
2.49k,R26,0402,,1
2.49k,R45,0402,,1
0.1uF,C56,0402,,1
1uF,C1013,0402,,1
NC,C2,0402,,1
EA3036C,U6,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,,1
0.1uF,C51,0402,,1
10k,R82,0402,,1
0.1uF,C74,0402,,1
"10k,1%",R32,0402,,1
10uF,C36,0402,,1
LED_BLUE,D2,LED_0603_1608Metric,,1
"10k,1%",R19,0402,,1
SolderJumper_2_Bridged,JP2,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
SolderJumper_2_Bridged,JP6,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
SolderJumper_2_Open,JP10,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
SolderJumper_2_Bridged,JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
TestPoint,TP1005,TestPoint_Pad_D0.75mm,,1
TestPoint,TP1006,TestPoint_Pad_D0.75mm,,1
TestPoint,TP1001,TestPoint_Pad_D0.75mm,,1
SolderJumper_2_Bridged,JP5,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
TestPoint,TP1007,TestPoint_Pad_D0.75mm,,1
SolderJumper_2_Bridged,JP3,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
SolderJumper_2_Bridged,JP9,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
TestPoint,TP1003,TestPoint_Pad_D0.75mm,,1
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
TestPoint,TP1002,TestPoint_Pad_D0.75mm,,1
TestPoint,TP1004,TestPoint_Pad_D0.75mm,,1
